model,variant,latent_channels,residual_blocks,power_normalization,train_snrs,train_channel,snr_db,samples,parameters,bandwidth_ratio,training_seconds,mse_mean,mse_std,psnr_mean,psnr_std,ssim_mean,ssim_std,inference_ms_mean,inference_ms_std
improved_c16_random,improved,16,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,-10,20,81779,0.16666666666666666,10.16456049999988,0.008431477472186089,0.0018235894359942288,20.83790397644043,0.9416493376946931,0.502982921898365,0.08054891728186488,13.35724499999742,45.414869214422765
improved_c16_random,improved,16,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,-5,20,81779,0.16666666666666666,10.16456049999988,0.005576677713543176,0.0014732723056254504,22.677602767944336,1.130338356304768,0.5992622300982475,0.09479849699112279,3.6262849999275204,1.4365585206760805
improved_c16_random,improved,16,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,0,20,81779,0.16666666666666666,10.16456049999988,0.004520905099343509,0.0012625872059637353,23.60123167037964,1.1698170905934842,0.6505370453000069,0.09618143609467149,3.2891249999693173,1.3268680185948571
improved_c16_random,improved,16,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,5,20,81779,0.16666666666666666,10.16456049999988,0.004157545859925449,0.0011601430855682697,23.96424789428711,1.1654876813462836,0.6739857614040374,0.09355771686353449,3.4854149999773654,1.7765652073300482
improved_c16_random,improved,16,1,True,-10.0/-5.0/0.0/5.0/10.0,awgn,10,20,81779,0.16666666666666666,10.16456049999988,0.004040018911473453,0.0011321749528929125,24.0895956993103,1.1676733684884963,0.6826791316270828,0.09217783444020901,3.0771449999747347,1.706283829799538
