model,test_image,image_shape,parameters,bandwidth_ratio,checkpoint_kib,training_seconds,best_epoch,cpu_inference_ms,gpu_inference_ms,cpu_threads
baseline_c16_random,kodim09.png,3x768x512,72243,0.16666666666666666,286.8740234375,8.023359400000118,65,18.010839999988093,1.4044700000340526,14
improved_c16_fixed5,kodim09.png,3x768x512,81779,0.16666666666666666,328.3271484375,9.620244000000184,80,21.534890000020823,2.5099999999838474,14
improved_c16_random,kodim09.png,3x768x512,81779,0.16666666666666666,328.3896484375,10.16456049999988,80,22.33350999999857,2.3391499999888765,14
improved_c32_random,kodim09.png,3x768x512,128003,0.3333333333333333,508.9521484375,10.930949099999907,65,27.31337000000167,1.847780000025523,14
improved_c8_random,kodim09.png,3x768x512,65579,0.08333333333333333,264.8896484375,11.499281299999893,70,19.680090000019845,3.3603999999741063,14
